Date,Open,High,Low,Close*
"Dec 29, 2022","18,045.70","18,229.70","17,992.80","18,191.00"
"Dec 28, 2022","18,084.75","18,173.10","18,068.35","18,122.50"
"Dec 27, 2022","18,089.80","18,149.25","17,967.45","18,132.30"
"Dec 26, 2022","17,830.40","18,084.10","17,774.25","18,014.60"
"Dec 23, 2022","17,977.65","18,050.45","17,779.50","17,806.80"
"Dec 22, 2022","18,288.80","18,318.75","18,068.60","18,127.35"
"Dec 21, 2022","18,435.15","18,473.35","18,162.75","18,199.10"
"Dec 20, 2022","18,340.30","18,404.90","18,202.65","18,385.30"
"Dec 19, 2022","18,288.10","18,431.65","18,244.55","18,420.45"
"Dec 16, 2022","18,319.10","18,440.95","18,255.15","18,269.00"
"Dec 15, 2022","18,614.40","18,652.90","18,387.70","18,414.90"
"Dec 14, 2022","18,671.25","18,696.10","18,632.90","18,660.30"
"Dec 13, 2022","18,524.40","18,617.25","18,490.20","18,608.00"
"Dec 12, 2022","18,402.15","18,521.55","18,345.70","18,497.15"
"Dec 09, 2022","18,662.40","18,664.70","18,410.10","18,496.60"
"Dec 08, 2022","18,570.85","18,625.00","18,536.95","18,609.35"
"Dec 07, 2022","18,638.85","18,668.30","18,528.40","18,560.50"
"Dec 06, 2022","18,600.65","18,654.90","18,577.90","18,642.75"
"Dec 05, 2022","18,719.55","18,728.60","18,591.35","18,701.05"
"Dec 02, 2022","18,752.40","18,781.95","18,639.20","18,696.10"
"Dec 01, 2022","18,871.95","18,887.60","18,778.20","18,812.50"
"Nov 30, 2022","18,625.70","18,816.05","18,616.55","18,758.35"
"Nov 29, 2022","18,552.45","18,678.10","18,552.15","18,618.05"
"Nov 28, 2022","18,430.55","18,614.25","18,365.60","18,562.75"
"Nov 25, 2022","18,528.45","18,534.90","18,445.10","18,512.75"
"Nov 24, 2022","18,326.10","18,529.70","18,294.25","18,484.10"
"Nov 23, 2022","18,325.20","18,325.40","18,246.00","18,267.25"
"Nov 22, 2022","18,179.15","18,261.85","18,137.70","18,244.20"
"Nov 21, 2022","18,246.40","18,262.30","18,133.35","18,159.95"
"Nov 18, 2022","18,382.95","18,394.60","18,209.80","18,307.65"
"Nov 17, 2022","18,358.70","18,417.60","18,312.95","18,343.90"
"Nov 16, 2022","18,398.25","18,442.15","18,344.15","18,409.65"
"Nov 15, 2022","18,362.75","18,427.95","18,282.00","18,403.40"
"Nov 14, 2022","18,376.40","18,399.45","18,311.40","18,329.15"
"Nov 11, 2022","18,272.35","18,362.30","18,259.35","18,349.70"
"Nov 10, 2022","18,044.35","18,103.10","17,969.40","18,028.20"
"Nov 09, 2022","18,288.25","18,296.40","18,117.50","18,157.00"
"Nov 07, 2022","18,211.75","18,255.50","18,064.75","18,202.80"
"Nov 04, 2022","18,053.40","18,135.10","18,017.15","18,117.15"
"Nov 03, 2022","17,968.35","18,106.30","17,959.20","18,052.70"
"Nov 02, 2022","18,177.90","18,178.75","18,048.65","18,082.85"
"Nov 01, 2022","18,130.70","18,175.80","18,060.15","18,145.40"
"Oct 31, 2022","17,910.20","18,022.80","17,899.90","18,012.20"
"Oct 28, 2022","17,756.40","17,838.90","17,723.70","17,786.80"
"Oct 27, 2022","17,771.40","17,783.90","17,654.50","17,736.95"
"Oct 25, 2022","17,808.30","17,811.50","17,637.00","17,656.35"
"Oct 24, 2022","17,736.35","17,777.55","17,707.40","17,730.75"
"Oct 21, 2022","17,622.85","17,670.15","17,520.75","17,576.30"
"Oct 20, 2022","17,423.10","17,584.15","17,421.00","17,563.95"
"Oct 19, 2022","17,568.15","17,607.60","17,472.85","17,512.25"
"Oct 18, 2022","17,438.75","17,527.80","17,434.05","17,486.95"
"Oct 17, 2022","17,144.80","17,328.55","17,098.55","17,311.80"
"Oct 14, 2022","17,322.30","17,348.55","17,169.75","17,185.70"
"Oct 13, 2022","17,087.35","17,112.35","16,956.95","17,014.35"
